,times,open,high,low,close,volume
0,2019-11-29,1306.6,1309.95,1303.23,1304.09,640069.0
1,2019-11-27,1315.42,1317.64,1309.47,1312.13,940536.0
2,2019-11-26,1309.91,1314.01,1304.04,1313.0,1097089.0
3,2019-11-25,1296.26,1310.41,1295.61,1305.64,1179658.0
4,2019-11-22,1303.0,1306.9,1289.36,1293.67,1388912.0
5,2019-11-21,1299.25,1311.12,1290.75,1300.14,1277338.0
6,2019-11-20,1311.36,1313.21,1289.21,1301.86,1445870.0
7,2019-11-19,1326.63,1326.63,1311.77,1312.59,1093629.0
8,2019-11-18,1332.34,1333.92,1316.16,1319.84,1399374.0
9,2019-11-15,1315.05,1333.54,1311.89,1333.54,1964955.0
10,2019-11-14,1295.0,1315.72,1293.94,1309.15,1450039.0
11,2019-11-13,1293.18,1302.52,1292.15,1296.18,936085.0
12,2019-11-12,1298.57,1309.35,1294.24,1297.21,1444342.0
13,2019-11-11,1304.0,1304.9,1295.87,1298.28,861860.0
14,2019-11-08,1301.52,1317.11,1301.52,1309.0,1521892.0
15,2019-11-07,1294.28,1322.65,1293.75,1306.94,2257005.0
16,2019-11-06,1290.09,1292.99,1282.27,1291.01,1231265.0
17,2019-11-05,1291.2,1297.24,1289.38,1291.44,1257427.0
18,2019-11-04,1276.11,1292.5,1276.11,1289.61,1531622.0
19,2019-11-01,1265.8,1273.0,1259.71,1272.25,1440607.0
20,2019-10-31,1260.0,1266.52,1249.48,1258.8,1595154.0
21,2019-10-30,1255.15,1268.02,1250.65,1260.7,1460193.0
22,2019-10-29,1276.0,1280.8,1255.61,1260.66,2632715.0
23,2019-10-28,1275.0,1299.24,1272.31,1288.98,3010505.0
24,2019-10-25,1252.0,1268.0,1249.15,1264.3,1355248.0
25,2019-10-24,1259.11,1262.9,1252.35,1259.11,1140478.0
26,2019-10-23,1240.21,1258.04,1240.21,1257.63,1176281.0
27,2019-10-22,1244.48,1248.73,1239.85,1241.2,1281821.0
28,2019-10-21,1248.7,1253.51,1239.99,1244.28,904715.0
29,2019-10-18,1254.69,1258.11,1240.14,1244.41,1453691.0
30,2019-10-17,1251.4,1263.75,1249.87,1252.8,1063981.0
31,2019-10-16,1241.81,1254.19,1238.53,1243.0,1151028.0
32,2019-10-15,1221.5,1247.12,1220.92,1242.24,1527216.0
33,2019-10-14,1213.89,1225.88,1211.88,1217.77,683926.0
34,2019-10-11,1224.03,1228.75,1213.64,1215.71,1126452.0
35,2019-10-10,1198.6,1215.62,1197.86,1209.47,668244.0
36,2019-10-09,1201.33,1208.46,1198.12,1202.4,813216.0
37,2019-10-08,1198.77,1206.87,1189.48,1190.13,1032426.0
38,2019-10-07,1207.0,1218.91,1204.36,1208.25,879020.0
39,2019-10-04,1194.29,1212.46,1190.97,1210.96,1228686.0
40,2019-10-03,1183.34,1191.0,1163.14,1189.43,1469413.0
41,2019-10-02,1196.5,1198.76,1172.63,1177.92,1674774.0
42,2019-10-01,1222.49,1232.86,1205.55,1206.0,1282735.0
43,2019-09-30,1220.6,1227.4,1213.42,1221.14,1294609.0
44,2019-09-27,1242.83,1244.99,1215.2,1225.95,1722481.0
45,2019-09-26,1242.14,1244.67,1231.82,1242.29,1171577.0
46,2019-09-25,1216.01,1248.02,1209.2,1245.94,1355162.0
47,2019-09-24,1240.0,1247.11,1210.64,1218.33,1835712.0
48,2019-09-23,1226.57,1239.68,1223.78,1234.69,1197069.0
49,2019-09-20,1233.64,1242.8,1223.58,1229.84,1937743.0
50,2019-09-19,1232.32,1244.34,1232.31,1238.75,847002.0
51,2019-09-18,1230.24,1236.24,1216.47,1232.65,892788.0
52,2019-09-17,1231.63,1235.0,1223.35,1229.88,1047201.0
53,2019-09-16,1230.44,1239.02,1225.19,1231.63,1410880.0
54,2019-09-13,1232.11,1241.05,1227.08,1240.03,1183762.0
55,2019-09-12,1223.47,1242.41,1222.56,1234.97,1582230.0
56,2019-09-11,1203.89,1222.47,1202.28,1220.0,1176066.0
57,2019-09-10,1196.09,1210.0,1196.01,1205.7,1396077.0
58,2019-09-09,1207.08,1220.55,1193.17,1205.27,1592958.0
59,2019-09-06,1209.14,1212.94,1203.26,1206.32,948580.0
60,2019-09-05,1193.66,1214.0,1192.69,1212.19,1320656.0
61,2019-09-04,1179.45,1184.88,1171.53,1182.27,1065666.0
62,2019-09-03,1181.85,1189.08,1163.71,1169.55,1296116.0
63,2019-08-30,1200.35,1200.35,1185.72,1190.53,903375.0
64,2019-08-29,1186.42,1199.19,1185.28,1194.24,982098.0
65,2019-08-28,1164.87,1178.5,1160.25,1173.75,833830.0
66,2019-08-27,1183.0,1185.0,1164.56,1170.82,1173489.0
67,2019-08-26,1159.45,1171.86,1154.85,1171.18,1058926.0
68,2019-08-23,1185.17,1195.67,1150.0,1153.58,1813141.0
69,2019-08-22,1193.8,1198.78,1178.91,1191.52,867915.0
70,2019-08-21,1195.82,1200.56,1187.92,1191.58,708272.0
71,2019-08-20,1195.35,1198.0,1183.05,1183.53,1010566.0
72,2019-08-19,1191.83,1209.39,1190.4,1200.44,1222854.0
73,2019-08-16,1180.79,1183.84,1173.0,1179.21,1265187.0
74,2019-08-15,1168.43,1176.42,1163.0,1169.32,1430715.0
75,2019-08-14,1176.07,1182.79,1161.07,1164.25,1771501.0
76,2019-08-13,1174.35,1205.43,1172.99,1196.73,1430240.0
77,2019-08-12,1180.0,1185.61,1168.72,1174.5,1103243.0
78,2019-08-09,1199.99,1204.46,1184.89,1188.9,1020945.0
